Name,Rest λ (Å)
HeII,3204.019
NeIII,3343.14
NeV,3346.783
NeV,3426.864
NI 3,3467.513
H25,3670.5155
H24,3672.5279
H23,3674.8110
H22,3677.4160
H21,3680.4065
H20,3683.8627
H19,3687.8871
H18,3692.6119
H17,3698.2103
H16,3704.9132
H15,3713.0334
H14,3723.0035
OII,3727.092
OII,3729.875
H13,3735.4365
H12,3751.2174
H11,3771.7012
Hθ,3798.9757
Hη,3836.4720
NeIII,3869.86
HeI,3889.749
Hζ ,3890.1506
NeIII,3968.59
Hϵ,3971.1951
HeI,4027.328
SII,4069.749
SII,4077.500
Hδ,4102.8922
Hγ,4341.6837
OIII,4364.436
HeI ,4472.734
HeII,4687.015
ArIV,4712.58
HeI,4714.466
ArIV,4741.45
Hβ ,4862.6830
HeI,4923.3051
OIII,4960.295
OIII,5008.240
HeI,5017.0769
ArIII,5193.27
NI,5199.349
NI,5201.705
OI,5578.887
NII,5756.19
HeI,5877.252
NaI,5891.583
NaI,5897.558
OI,6302.046
OI,6365.536
NII,6549.86
HeII,6561.890
Hα ,6564.608
NII,6585.27
HeI,6679.9956
SII,6718.295
SII,6732.674
HeI 3,7067.144
HeI,7067.65683
ArIII,7137.76
ArIV,7172.67
ArIV,7239.77
ArIV,7265.33
HeI,7283.3571
OII,7320.94
OII,7322.01
OII,7331.68
OII,7332.75
ArIV,7334.17
ArIII,7753.24
ArIII,8038.73
P20,8394.703
P19,8415.630
P18,8440.274
P17,8469.581
P16,8504.819
P15,8547.731
P14,8600.754
P13,8667.398
P12,8752.876
SIII,8831.8
P θ,8865.216
P η,9017.384
SIII,9071.1
HeI,9212.862
P ζ,9231.546
SIII,9533.2
P ϵ,9548.588
HeI,9528.778
HeI,10030.470
Pδ,10052.123
