,0
0,5-66031               
1,5-66031               
2,5-12626               
3,5-12626               
4,5-66039               
5,5-66039               
6,5-108715              
7,5-108715              
8,5-108718              
9,5-108718              
10,5-12783               
11,5-12783               
12,5-14011               
13,5-14011               
14,5-12458               
15,5-12458               
16,5-12917               
17,5-12917               
18,5-13483               
19,5-13483               
20,5-12310               
21,5-12310               
22,5-12454               
23,7-17152035            
24,54-49929873           
25,7-17443125            
26,7-17373411            
27,7-17113356            
28,7-17372978            
29,3-6402692             
30,3-5987318             
31,3-6404863             
32,3-6404863             
33,3-5577243             
34,3-5577243             
35,3-5576413             
36,3-6196187             
37,3-6196187             
38,3-6823264             
39,3-6823264             
40,3-6406145             
41,3-7244933             
42,3-7032529             
43,3-7032529             
44,3-6822078             
45,3-6822078             
46,3-7244359             
47,3-7244359             
48,7-16750617            
49,7-16565620            
50,7-16530655            
51,3-4223425             
52,3-4406740             
53,3-4043496             
54,3-3869861             
55,3-4595935             
56,3-4407844             
57,3-4408465             
58,3-4785284             
59,3-4784958             
60,3-4973697             
61,3-4785183             
62,3-4596164             
63,7-16557545            
64,3-4974289             
65,3-12474574            
66,7-18036378            
67,7-18131529            
68,7-18302973            
69,7-18123661            
70,7-18076292            
71,54-46696365           
72,7-17713881            
73,7-17713881            
74,7-17726798            
75,7-18135211            
76,7-18135211            
77,7-18079774            
78,7-18079774            
79,7-17793043            
80,7-17793043            
81,7-18309407            
82,7-18164912            
83,7-18070022            
84,7-18037147            
85,7-18037147            
86,7-18048694            
87,3-10044956            
88,3-10304716            
89,54-46663839           
90,7-17733939            
91,3-12470164            
92,54-46661637           
93,3-10834340            
94,3-12193066            
95,7-17737376            
96,7-17770791            
97,7-17450545            
98,7-17438323            
99,7-17763323            
100,7-17771220            
101,7-17414034            
102,7-17398443            
103,7-17704751            
104,7-17888076            
105,7-17892225            
106,7-17712562            
107,7-17744067            
108,7-17723412            
109,7-17738898            
110,54-45969829           
111,7-17814633            
112,3-8105959             
113,3-9043174             
114,3-8805710             
115,7-17385440            
116,3-9283375             
117,7-17656143            
118,7-17447970            
119,7-17607045            
120,7-17371036            
121,7-17137757            
122,7-17469659            
123,7-17199847            
124,7-17452200            
125,7-17439772            
126,7-17451036            
127,7-17442690            
128,7-17353112            
129,7-18164333            
130,54-45105347           
131,7-18238141            
132,55-2076373386312553088
133,3-16245521            
134,7-17857102            
135,7-17974607            
136,7-17752858            
137,7-17691040            
138,7-17869940            
139,54-44685845           
140,7-17899612            
141,54-44689258           
142,7-17865241            
143,3-16243358            
144,7-17913547            
145,7-17680406            
146,7-17773869            
147,7-17725426            
148,54-45975216           
149,7-17932045            
150,7-18042340            
151,7-18121064            
152,54-44681341           
153,54-45989264           
154,7-17911098            
155,7-17911098            
156,7-17911098            
157,7-18241715            
158,7-18241715            
159,7-18241715            
160,7-18007762            
161,7-18007762            
162,7-18007762            
163,54-48685732           
164,54-48685732           
165,54-48685732           
166,7-17714994            
167,7-17714994            
168,7-17714994            
169,7-18167572            
170,7-18167572            
171,7-18072462            
172,7-18072462            
173,7-18072462            
174,7-18203101            
175,7-18203101            
176,7-18203101            
177,54-49458313           
178,54-49458313           
179,54-49458313           
180,7-18020425            
181,7-18020425            
182,7-17795357            
183,7-17795357            
184,7-17795357            
185,7-18032661            
186,7-18032661            
187,7-18032661            
188,7-17812652            
189,7-17812652            
190,7-17812652            
191,7-18114308            
192,7-18114308            
193,7-18114308            
194,7-18302907            
195,7-18302907            
196,7-18302907            
197,54-49458021           
198,54-49458021           
199,54-49458021           
200,7-18194372            
201,7-18194372            
202,7-18194372            
203,7-18102817            
204,7-18102817            
205,7-18102817            
206,7-18027223            
207,7-18027223            
208,7-18027223            
209,7-18235601            
210,7-18235601            
211,7-18235601            
212,7-18173720            
213,7-18173720            
214,7-18173720            
215,7-18102335            
216,7-18102335            
217,7-18071839            
218,7-18071839            
219,7-18071839            
220,7-18066709            
221,7-18066709            
222,7-18066709            
223,7-18046114            
224,7-18046114            
225,7-18046114            
226,7-18033608            
227,7-18033608            
228,7-17744180            
229,7-17744180            
230,7-17744180            
231,7-17098411            
232,7-17098411            
233,7-17098411            
234,7-17098411            
235,7-17098411            
236,7-17141056            
237,7-17141056            
238,7-17141056            
239,7-17141056            
240,7-17420259            
241,7-17420259            
242,7-17420259            
243,7-17420259            
244,7-17420259            
245,3-6607612             
246,3-6607612             
247,3-6607612             
248,3-6607612             
249,3-6607612             
250,7-17133364            
251,7-17133364            
252,7-17133364            
253,7-17133364            
254,7-17133364            
255,7-17133364            
256,7-17225609            
257,7-17225609            
258,7-17225609            
259,7-17225609            
260,7-17225609            
261,7-17225609            
262,7-17401177            
263,7-17401177            
264,7-17401177            
265,7-17401177            
266,7-17401177            
267,7-17099903            
268,7-17099903            
269,7-17099903            
270,7-17099903            
271,7-17099903            
272,7-17082060            
273,7-17082060            
274,7-17082060            
275,7-17082060            
276,7-17082060            
277,7-17091982            
278,7-17091982            
279,7-17091982            
280,7-17091982            
281,7-17091982            
282,7-17123749            
283,7-17123749            
284,7-17123749            
285,7-17123749            
286,7-17123749            
287,7-17397000            
288,7-17397000            
289,7-17397000            
290,7-17397000            
291,54-47907016           
292,54-47907016           
293,54-47907016           
294,54-47907016           
295,54-47910940           
296,54-47910940           
297,54-47910940           
298,54-47910940           
299,54-47910940           
300,7-17099660            
301,7-17099660            
302,7-17099660            
303,7-17099660            
304,3-6607278             
305,3-6607278             
306,3-6607278             
307,3-6607278             
308,3-6607278             
309,3-6607294             
310,3-6607294             
311,3-6607294             
312,3-6607294             
313,3-6607294             
314,3-6607294             
315,3-7237690             
316,3-7237690             
317,3-7237690             
318,3-7237690             
319,3-7237690             
320,3-7455642             
321,3-7455642             
322,3-7455642             
323,3-7455642             
324,3-7455642             
325,3-7455642             
326,3-6816074             
327,3-6816074             
328,3-6816074             
329,3-6816074             
330,3-6816074             
331,3-7238715             
332,3-7238715             
333,3-7238715             
334,3-7238715             
335,3-7238715             
336,3-7674813             
337,3-7674813             
338,3-7674813             
339,3-7674813             
340,3-7895045             
341,3-7895045             
342,3-7895045             
343,3-7895045             
344,3-7895058             
345,3-7895058             
346,3-7895058             
347,3-7895058             
348,3-7894262             
349,3-7894262             
350,3-7894262             
351,3-7894262             
352,3-7673838             
353,3-7673838             
354,3-7673838             
355,3-7673838             
356,3-7454962             
357,3-7454962             
358,3-7454962             
359,3-7454962             
360,3-7454962             
361,54-47907671           
362,54-47907671           
363,54-47907671           
364,54-47907671           
365,54-47907671           
366,7-17234477            
367,7-17234477            
368,7-17234477            
369,7-17234477            
370,7-17091945            
371,7-17091945            
372,7-17091945            
373,7-17159109            
374,7-17159109            
375,7-17448462            
376,7-17448462            
377,7-17448462            
378,7-17410311            
379,7-17410311            
380,7-17410311            
381,7-17165956            
382,7-17165956            
383,7-17098438            
384,7-17098438            
385,7-17098438            
386,54-47912077           
387,54-47912077           
388,7-17153752            
389,7-17153752            
390,7-17153752            
391,7-17083957            
392,7-17083957            
393,7-17083957            
394,7-17479347            
395,7-17479347            
396,7-17479347            
397,7-17590580            
398,7-17590580            
399,7-17590580            
400,7-17600820            
401,7-17600820            
402,7-17600820            
403,7-17085764            
404,7-17085764            
405,7-17085764            
406,7-17262248            
407,7-17262248            
408,7-17262248            
409,7-17374030            
410,7-17374030            
411,7-17374030            
412,3-6607278             
413,3-6607278             
414,3-6607278             
415,3-6607294             
416,3-6607294             
417,3-6607294             
418,3-7237690             
419,3-7237690             
420,3-7237690             
421,3-7455642             
422,3-7455642             
423,3-6816074             
424,3-6816074             
425,3-7238715             
426,3-7674813             
427,3-7674813             
428,3-7674813             
429,3-7895045             
430,3-7895045             
431,3-7895045             
432,3-7895058             
433,3-7895058             
434,3-7895058             
435,3-7894262             
436,3-7894262             
437,3-7894262             
438,3-7673838             
439,3-7673838             
440,3-7673838             
441,3-7454962             
442,3-7454962             
443,3-7454962             
444,7-17102874            
445,7-17102874            
446,7-17102874            
447,7-17387984            
448,7-17387984            
449,7-17387984            
450,7-16176242            
451,3-42866803            
452,3-45785094            
453,7-16395562            
454,3-42267115            
455,3-44641794            
456,7-16419655            
457,3-42273620            
458,7-16330918            
459,3-47457939            
460,7-16195625            
461,7-16118343            
462,7-16417461            
463,3-45213401            
464,7-16096845            
465,7-16239806            
466,7-16137362            
467,7-16267978            
468,7-16286686            
469,7-16222070            
470,7-16430640            
471,7-16471924            
472,7-16323530            
473,7-16316312            
474,7-16091457            
475,7-16449075            
476,7-16460046            
477,3-46334558            
478,3-68758455            
479,7-17198957            
480,7-17309560            
481,7-17119114            
482,3-69327564            
483,7-17313746            
484,7-17292892            
485,3-67632955            
486,7-17342032            
487,7-17254084            
488,7-17101171            
489,7-17297742            
490,7-17602784            
491,7-17212872            
492,7-17327072            
493,7-17281859            
494,7-17236361            
495,7-17093997            
496,7-17142120            
497,7-17230104            
498,7-17201644            
499,7-17273260            
500,7-17149410            
501,7-17343914            
502,7-17348847            
503,3-69323591            
504,3-69326833            
505,7-19047671            
506,7-19047671            
507,7-19047671            
508,7-18860509            
509,7-18860509            
510,3-48193167            
511,3-48193167            
512,3-48193167            
513,7-18972686            
514,7-18972686            
515,7-18972686            
516,3-49224469            
517,3-49224469            
518,3-49224469            
519,3-49223415            
520,3-49223415            
521,3-49223415            
522,7-19055624            
523,7-19055624            
524,7-19055624            
525,3-47092018            
526,3-47092018            
527,3-47101585            
528,3-47101585            
529,3-47101585            
530,3-49231960            
531,3-49231960            
532,3-49231960            
533,3-51236393            
534,3-51236393            
535,3-51236393            
536,3-48706283            
537,3-48706283            
538,3-48706283            
539,3-49732511            
540,3-49732511            
541,7-18974628            
542,7-18974628            
543,7-18974628            
544,7-19380064            
545,7-19380064            
546,7-19380064            
547,7-18891490            
548,7-18891490            
549,7-18891490            
550,7-18993060            
551,7-18993060            
552,7-18993060            
553,7-18987357            
554,7-18987357            
555,7-18987357            
556,7-18873066            
557,7-18873066            
558,7-18873066            
559,7-18814559            
560,7-18814559            
561,7-18814559            
562,7-18734402            
563,7-18734402            
564,7-18734402            
565,7-18849858            
566,7-18849858            
567,7-18849858            
568,7-18725546            
569,7-18725546            
570,7-18725546            
571,7-18785371            
