Stellar_Type,Mass,Luminosity,Radius,Temp,Color_Index,Abs_Mag,Bolo_Mag
O0Ia0,160.0,3.41e+07,8.02e+01,50000,-0.35,-9.5,-14.08
O0Ia,150.0,2.59e+06,2.21e+01,50000,-0.35,-6.7,-11.28
O0Ib,140.0,2.15e+06,2.02e+01,50000,-0.35,-6.5,-11.08
O0II,130.0,2.15e+06,2.02e+01,50000,-0.35,-6.5,-11.08
O0III,120.0,2.15e+06,2.02e+01,50000,-0.35,-6.5,-11.08
O0IV,110.0,1.36e+06,1.60e+01,50000,-0.35,-6.0,-10.58
O0V,100.0,1.24e+06,1.53e+01,50000,-0.35,-5.9,-10.48
O0VI,60.0,9.40e+05,1.33e+01,50000,-0.35,-5.6,-10.18
O1Ia0,159.7,2.71e+07,7.88e+01,47600,-0.35,-9.4,-13.83
O1Ia,149.3,2.25e+06,2.27e+01,47600,-0.35,-6.7,-11.13
O1Ib,139.0,1.87e+06,2.07e+01,47600,-0.35,-6.5,-10.93
O1II,128.6,1.73e+06,1.98e+01,47800,-0.35,-6.4,-10.84
O1III,118.2,1.58e+06,1.89e+01,47800,-0.35,-6.3,-10.74
O1IV,107.9,1.09e+06,1.57e+01,47800,-0.35,-5.9,-10.34
O1V,97.5,9.94e+05,1.50e+01,47800,-0.35,-5.8,-10.24
O1VI,37.0,7.54e+05,1.31e+01,47800,-0.35,-5.5,-9.94
O2Ia0,159.4,2.14e+07,7.77e+01,45200,-0.35,-9.3,-13.58
O2Ia,148.6,2.14e+06,2.46e+01,45200,-0.35,-6.8,-11.08
O2Ib,137.9,1.62e+06,2.14e+01,45200,-0.35,-6.5,-10.78
O2II,127.2,1.52e+06,2.03e+01,45600,-0.35,-6.4,-10.70
O2III,116.5,1.26e+06,1.85e+01,45600,-0.35,-6.2,-10.50
O2IV,105.7,8.72e+05,1.54e+01,45600,-0.35,-5.8,-10.10
O2V,95.0,7.95e+05,1.47e+01,45600,-0.35,-5.7,-10.00
O2VI,30.0,6.03e+05,1.28e+01,45600,-0.35,-5.4,-9.70
O3Ia0,159.0,1.68e+07,7.69e+01,42800,-0.34,-9.2,-13.32
O3Ia,148.0,1.85e+06,2.55e+01,42800,-0.34,-6.8,-10.92
O3Ib,136.9,1.40e+06,2.22e+01,42800,-0.34,-6.5,-10.62
O3II,125.8,1.21e+06,2.00e+01,43400,-0.34,-6.3,-10.46
O3III,114.7,9.17e+05,1.75e+01,43400,-0.34,-6.0,-10.16
O3IV,103.6,6.96e+05,1.52e+01,43400,-0.34,-5.7,-9.86
O3V,92.5,6.34e+05,1.45e+01,43400,-0.34,-5.6,-9.76
O3VI,23.0,4.81e+05,1.26e+01,43400,-0.34,-5.3,-9.46
O4Ia0,158.7,1.32e+07,7.64e+01,40400,-0.33,-9.1,-13.05
O4Ia,147.3,1.74e+06,2.77e+01,40400,-0.33,-6.9,-10.85
O4Ib,135.8,1.20e+06,2.31e+01,40400,-0.33,-6.5,-10.45
O4II,124.4,9.60e+05,1.98e+01,41200,-0.34,-6.2,-10.21
O4III,112.9,7.28e+05,1.73e+01,41200,-0.34,-5.9,-9.91
O4IV,101.5,5.52e+05,1.50e+01,41200,-0.34,-5.6,-9.61
O4V,90.0,5.04e+05,1.44e+01,41200,-0.34,-5.5,-9.51
O4VI,20.0,3.82e+05,1.25e+01,41200,-0.34,-5.2,-9.21
O5Ia0,158.4,1.03e+07,7.62e+01,38000,-0.33,-9.0,-12.78
O5Ia,142.0,1.48e+06,2.90e+01,38000,-0.33,-6.9,-10.68
O5Ib,125.6,1.03e+06,2.41e+01,38000,-0.33,-6.5,-10.28
O5II,109.2,7.59e+05,1.97e+01,39000,-0.33,-6.1,-9.95
O5III,92.8,5.25e+05,1.64e+01,39000,-0.33,-5.7,-9.55
O5IV,76.4,4.37e+05,1.49e+01,39000,-0.33,-5.5,-9.35
O5V,60.0,3.98e+05,1.42e+01,39000,-0.33,-5.4,-9.25
